UNITID,Name,Address,City,State,ZipCode,Longitude,Latitude,CIP CODE,major_field_of_study_orig,major_field_of_study,TUITPL ,TUITPL1,TUITPL2,TUITPL3,TUITPL4,Room,Board,TUITION1,EFYBKAAT,EFYBKAAM,EFYBKAAW,UAGRNTT,UDGAGRNTT,UNDAGRNTT,UPGRNTT,UDGPGRNTP (%),Website,Type,Awards offered,Campus setting,Campus housing,Student population,Undergraduate students,Graduation Rate,Transfer-Out Rate,Cohort Year *,Net Price **,Largest Program,IPEDS ID,OPE ID,Average of Households Median Income (Dollars),Average of TotalPop,Average of Men,Average of Women,Average of Hispanic,Average of White,Average of Black,Average of Native,Average of Asian,Average of Pacific,Average of VotingAgeCitizen,Average of Income,Average of IncomeErr,Average of IncomePerCap,Average of IncomePerCapErr,Average of Poverty,Average of ChildPoverty,Average of Professional,Average of Office,Average of Service,Average of Construction,Average of Production,Average of Carpool,Average of Transit,Average of Drive,Average of Walk,Average of OtherTransp,Average of MeanCommute,Average of Employed,Average of PrivateWork,Average of PublicWork,Average of FamilyWork,Average of Unemployment,Average of SelfEmployed
102711,Alaska Vocational Technical Center,"PO Box 889, Seward, Alaska 99664-0889",Seward,AK,99664,-149.444487,60.110626,,Information not available,Engineering & Technology,2,0,0,0,0,1,1,#N/A,8,7,1," $608,422.00 "," $602,422.00 "," $6,000.00 "," $230,515.00 ",33,www.avtec.edu/,"< 2-year, Public",Less than one year certificate;One but less than two years certificate,Rural: Remote,Yes,202,202,86%,NA,2019-20,"$18,645",Welding Technology/Welder,102711,03160300,67344,2817.50,1568.50,1249.00,3.55,79.00,0.55,8.20,2.90,0.20,2221.50,70422.50,16964.50,34296.00,6778.00,11.25,20.20,31.20,18.85,22.50,11.00,16.55,11.35,1.20,52.80,11.55,7.75,14.85,1345.50,63.15,22.60,0.15,8.15,14.05
476708,Allen School-Phoenix,"15650 North Black Canyon Highway, B210, Phoenix, Arizona 85053-4064",Phoenix,AZ,85053,-112.11743,33.629635,,Information not available,Engineering & Technology,1,0,1,1,0,2,3,#N/A,15,13,2," $510,960.00 "," $510,960.00 ", $-   ," $510,960.00 ",48,www.allenschool.edu/,"< 2-year, Private for-profit",Less than one year certificate,City: Large,No,9,9,84%,NA,2019-20,"$20,593",Medical/Clinical Assistant,469610,03358303,56495,4971.00,2457.80,2513.20,20.50,67.42,4.50,1.60,2.40,0.10,3697.20,52895.00,5711.40,25823.00,3461.80,11.70,14.16,32.36,31.26,18.44,10.44,7.52,10.40,4.02,79.78,1.56,1.16,25.14,2490.20,86.62,8.48,0.00,6.36,4.88
#N/A,American InterContinental University System,"2200 E Germann Road, Suite 100, Chandler, Arizona 85286",#N/A,#N/A,#N/A,#N/A,#N/A,,Information not available,Engineering & Technology,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,https://www.aius.education/,"4-year, Private for-profit",Less than one year certificate;Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Doctor's degree - research/scholarship;Doctor's degree - professional practice,Rural: Fringe,No,14333,10447,23%,NA,Fall 2016,"$13,808",-,445027,02113600,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
100690,Amridge University,"1200 Taylor Rd, Montgomery, Alabama 36117-3553",Montgomery,AL,36117,-86.17401,32.362609,52,Business Management & Admin Services,Business Management & Admin Services,1,1,0,0,0,2,3,9000,524,136,388," $865,108.00 "," $865,108.00 ", $-   ," $350,244.00 ",78,https://www.amridgeuniversity.edu/,"4-year, Private not-for-profit",Associate's degree;Bachelor's degree;Master's degree;Doctor's degree - research/scholarship,City: Midsize,No,647,228,50%,50%,Fall 2016,NA,-,100690,02503400,69422,5193.00,2455.00,2738.00,1.76,49.60,41.01,0.22,5.73,0.00,3755.89,70012.11,9054.11,34190.56,3942.22,9.59,11.47,45.66,23.13,14.91,4.53,11.73,8.62,0.14,85.24,0.88,0.80,20.49,2624.56,74.59,21.19,0.10,3.67,4.14
103954,Arizona Academy of Beauty,"5631 E Speedway Blvd, Tucson, Arizona 85712",Tucson,AZ,85712,-110.872305,32.237253,,Information not available,Engineering & Technology,1,0,0,1,0,2,3,#N/A,9,0,9," $225,218.00 "," $225,218.00 ", $-   ," $211,868.00 ",61,www.arizonaacademy.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Large,No,34,34,57%,NA,2019-20,"$14,622","Cosmetology/Cosmetologist, General",103954,00886400,39800,3823.50,1809.75,2013.75,20.00,67.55,6.13,0.83,1.63,1.10,2968.50,35985.75,7298.25,25033.50,3892.00,22.70,32.05,36.75,25.03,23.55,6.33,8.35,8.48,5.28,73.38,1.48,5.10,21.88,1770.75,75.75,16.18,0.00,8.65,8.08
105899,Arizona Christian University,"1 W. Firestorm Way, Glendale, Arizona 85306-3216",Glendale,AZ,85306,-112.181776,33.622952,13,Education,Education,1,0,0,1,0,1,1,29850,120,89,31," $16,961,595.00 "," $16,945,827.00 "," $15,768.00 "," $2,034,775.00 ",38,arizonachristian.edu/,"4-year, Private not-for-profit",Less than one year certificate;One but less than two years certificate;Associate's degree;Bachelor's degree;Master's degree,Suburb: Large,Yes,1082,1082,45%,NA,Fall 2016,"$28,755",-,105899,00711300,66945,4220.00,2060.75,2159.25,18.93,72.68,3.08,0.83,2.13,0.00,3200.75,64871.00,8444.00,26975.25,2990.75,10.83,14.13,34.28,31.50,15.38,10.40,8.45,10.33,1.63,77.68,1.95,2.73,25.25,2082.75,79.45,15.05,0.00,5.23,5.50
497480,Arizona College of Nursing-Phoenix,"16404 North Black Canyon Highway, Suite 200, Phoenix, Arizona 85053-4058",Phoenix,AZ,85053,-112.117327,33.635804,13,Education,Education,1,0,0,1,0,2,3,12374,171,29,142," $2,617,289.00 "," $2,617,289.00 ", $-   ," $319,615.00 ",33,https://www.arizonacollege.edu/,"4-year, Private for-profit",Bachelor's degree,City: Large,No,746,746,NA,NA,Fall 2016,"$31,740",-,495457,03115008,56495,4971.00,2457.80,2513.20,20.50,67.42,4.50,1.60,2.40,0.10,3697.20,52895.00,5711.40,25823.00,3461.80,11.70,14.16,32.36,31.26,18.44,10.44,7.52,10.40,4.02,79.78,1.56,1.16,25.14,2490.20,86.62,8.48,0.00,6.36,4.88
430582,Arizona College of Nursing-Tempe,"1620 West Fountainhead Parkway, Tempe, Arizona 85282-1840",Tempe,AZ,85282,-111.965808,33.403079,,Information not available,Engineering & Technology,2,0,0,0,0,2,3,#N/A,0,0,0," $1,135,435.00 "," $985,402.00 "," $150,033.00 "," $857,496.00 ",76,www.arizonacollege.edu/,"4-year, Private for-profit",Bachelor's degree,City: Midsize,No,1177,1177,60%,NA,Fall 2016,"$28,726",-,421708,03115000,64151,5664.29,3026.71,2637.57,19.70,65.13,6.14,1.43,4.24,0.30,4592.14,53704.14,13472.29,26181.00,3073.14,22.33,21.67,39.74,29.26,20.31,4.40,6.30,7.43,3.86,73.04,4.49,6.31,20.26,3023.43,80.79,14.10,0.17,6.29,4.94
497471,Arizona College of Nursing-Tucson,"5285 East Williams Circle, Suite 1000, Tucson, Arizona 85711",Tucson,AZ,85711,-110.880434,32.22113,,Information not available,Engineering & Technology,1,0,0,1,0,2,3,#N/A,11,2,9," $23,255.00 "," $23,255.00 ", $-   ," $15,255.00 ",45,https://www.arizonacollege.edu/,"4-year, Private for-profit",Bachelor's degree,City: Large,No,516,516,NA,NA,Fall 2016,"$29,109",-,495448,03115007,45984,4739.38,2292.46,2446.92,33.50,53.35,5.71,1.24,3.22,0.11,3362.00,36421.85,7086.46,21641.54,3095.85,25.67,36.25,34.91,25.52,26.03,6.20,7.33,9.50,5.87,74.08,3.92,3.32,19.72,2030.85,75.95,17.07,0.22,9.25,6.75
0,Arizona College-Glendale,"4425 West Olive Avenue Suite 300, Glendale, Arizona 85302-3843",Glendale,AZ,85302,-112.154175,33.566263,,Information not available,Engineering & Technology,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,https://www.arizonacollege.edu/,"2-year, Private for-profit",Less than one year certificate;One but less than two years certificate;Associate's degree,Suburb: Large,No,453,453,60%,NA,Fall 2019,"$25,807",-,497277,03115010,52663,5413.71,2700.57,2713.14,33.44,53.67,4.84,2.71,2.27,0.10,3820.71,45826.43,7266.86,20920.86,2963.71,20.86,27.09,28.36,28.36,20.61,8.69,13.99,9.43,2.13,79.99,0.96,1.94,26.41,2482.43,81.46,13.40,0.61,5.09,4.54
484367,Arizona College-Mesa,"163 N Dobson Rd, Mesa, Arizona 85201",Mesa,AZ,85201,-111.873428,33.418374,,Information not available,Engineering & Technology,1,0,0,1,0,2,3,#N/A,30,7,23," $1,559,882.00 "," $1,559,882.00 ", $-   ," $1,492,911.00 ",64,https://www.arizonacollege.edu/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Large,No,259,259,48%,NA,Fall 2019,"$27,898",-,482990,03115001,49844,4528.64,2307.36,2221.27,34.91,49.69,6.51,3.96,1.77,0.35,2878.55,38695.73,5685.27,20575.36,3078.09,23.74,31.27,26.29,28.53,20.90,13.64,10.62,12.07,3.60,74.48,2.51,3.30,23.75,2210.18,84.07,10.20,0.11,6.47,5.60
452887,Arizona Culinary Institute,"10585 N 114th St Ste 401, Scottsdale, Arizona 85259",Scottsdale,AZ,85259,-111.831237,33.581935,,Information not available,Engineering & Technology,1,0,0,1,0,2,3,#N/A,6,5,1," $318,749.00 "," $318,749.00 ", $-   ," $196,259.00 ",25,www.azculinary.edu/,"< 2-year, Private for-profit",One but less than two years certificate,City: Midsize,No,150,150,82%,NA,2019-20,"$37,011",Culinary Arts/Chef Training,450951,04120900,121085,5273.13,2492.25,2780.88,5.70,84.68,0.91,0.39,5.84,0.00,4066.38,112803.13,18135.00,63105.25,9494.88,5.80,5.58,56.79,26.91,10.74,2.30,3.29,4.81,0.19,81.51,0.94,1.85,24.30,2605.38,85.83,6.96,0.51,3.70,6.71
447795,Arizona School of Acupuncture and Oriental Medicine,"2856 E Fort Lowell Rd, Tucson, Arizona 85716-1518",Tucson,AZ,85716,-110.929118,32.264559,,Information not available,Engineering & Technology,1,0,0,1,0,2,3,#N/A,5,2,3," $29,044.00 "," $29,044.00 ", $-   ," $29,044.00 ",11,www.asaom.edu/,"4-year, Private for-profit",Master's degree,City: Large,No,33,,NA,NA,Fall 2016,NA,-,446039,03695500,43907,3945.89,2020.78,1925.11,24.64,62.00,5.12,1.46,4.16,0.13,3044.56,37629.00,8756.44,27114.56,4653.89,28.08,24.84,43.38,23.54,19.60,6.14,7.38,7.31,5.16,70.50,2.54,10.32,20.54,1980.11,73.48,20.26,0.11,8.10,6.16
486196,Arizona School of Integrative Studies,"209 W Main St, Mesa, Arizona 85201",Tucson,AZ,85705,-110.969111,32.23013,,Information not available,Engineering & Technology,1,0,0,1,0,1,1,11400,0,0,0," $1,975,235.00 "," $1,975,235.00 ", $-   ," $557,694.00 ",49,https://www.asismassage.edu/,"< 2-year, Private for-profit",Less than one year certificate,City: Large,No,178,178,73%,NA,2019-20,"$12,649",Massage Therapy/Therapeutic Massage,484163,04233100,32150,3698.14,1864.79,1833.36,45.02,38.39,4.26,3.34,5.34,0.23,2467.00,27237.36,5275.14,17259.50,3611.79,36.21,45.06,21.61,25.05,31.36,10.85,11.13,14.24,6.69,63.99,3.49,7.70,22.46,1610.71,80.23,12.52,0.19,12.44,7.06
104151,Arizona State University Campus Immersion,"University Drive and Mill Avenue, Tempe, Arizona 85287",Tempe,AZ,85287,-111.934383,33.417721,13,Education,Education,1,0,0,1,0,1,2,10978,3611,1674,1937," $638,062,032.00 "," $637,835,362.00 "," $226,670.00 "," $104,345,402.00 ",31,www.asu.edu/,"4-year, Public",Less than one year certificate;One but less than two years certificate;Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice,City: Midsize,Yes,80065,65492,67%,19%,Fall 2016,"$14,808",-,104151,00108100,106053,4431.17,2200.83,2230.33,18.27,56.35,6.67,0.05,15.90,0.00,2752.33,101280.33,13919.00,37000.50,4627.50,5.95,6.55,49.03,27.62,13.55,4.17,5.62,9.15,0.82,78.87,0.97,1.30,25.57,2340.67,84.50,9.77,0.07,3.80,5.67
484710,Arizona State University Digital Immersion,"1365 N Scottsdale Rd, Scottsdale, Arizona 85257",Scottsdale,AZ,85257,-111.924487,33.463517,52,Business Management & Admin Services,Business Management & Admin Services,1,1,0,0,1,2,3,9552,22,11,11," $114,484.00 "," $114,484.00 ", $-   ," $68,378.00 ",25,www.asu.edu/,"4-year, Public",Less than one year certificate;Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship,City: Midsize,No,62551,46679,52%,14%,Fall 2016,NA,-,483124,00108159,73795,4563.00,2462.67,2100.33,26.17,61.60,3.63,2.50,3.40,0.63,3656.00,52113.00,16238.00,29605.00,4642.00,17.37,24.90,41.90,24.97,21.00,6.07,6.03,7.57,3.40,77.07,4.50,3.87,20.43,2691.33,80.17,12.80,0.00,4.00,7.00
104160,Arizona Western College,"2020 S. Avenue 8E, Yuma, Arizona 85365-8834",Yuma,AZ,85365,-114.495968,32.689306,,Information not available,Engineering & Technology,1,0,0,1,0,1,2,2760,215,141,74," $23,581,763.00 "," $22,946,185.00 "," $635,578.00 "," $11,690,640.00 ",41,https://www.azwestern.edu/,"2-year, Public",Less than one year certificate;One but less than two years certificate;Associate's degree,City: Small,Yes,8050,8050,21%,6%,Fall 2019,"$9,487",-,104160,00107100,59233,3390.25,1794.56,1595.69,45.37,45.34,2.64,2.68,1.28,0.06,2236.94,50054.56,7939.44,23985.94,3753.69,17.34,21.83,28.10,26.79,21.42,13.49,10.21,9.81,0.58,80.22,4.42,1.99,17.52,1216.88,68.73,25.23,0.16,9.63,5.89
106306,Arkansas Baptist College,"1600 Dr. Martin Luther King Jr. Drive, Little Rock, Arkansas 72202-6068",Little Rock,AR,72202,-92.290555,34.734751,52,Business Management & Admin Services,Business Management & Admin Services,1,0,0,1,0,1,2,8760,675,553,122," $4,163,483.00 "," $4,163,483.00 ", $-   ," $1,500,849.00 ",63,https://www.arkansasbaptist.edu/,"4-year, Private not-for-profit",Associate's degree;Bachelor's degree,City: Midsize,Yes,497,497,8%,NA,Fall 2016,"$13,309",-,106306,00108700,50456,2836.60,1387.80,1448.80,2.34,43.16,46.98,0.16,5.42,0.10,2278.80,44848.80,9005.80,27583.20,4333.40,17.46,13.54,43.74,24.02,17.26,6.26,8.78,9.80,1.92,81.98,1.40,1.38,17.86,1563.00,76.92,17.26,0.64,7.66,5.18
106324,Arkansas Beauty College,"109 N Commerce St, Russellville, Arkansas 72801",Russellville,AR,72801,-93.135369,35.27902,,Information not available,Engineering & Technology,1,0,0,1,0,2,3,#N/A,2,0,2," $252,174.00 "," $252,174.00 ", $-   ," $163,426.00 ",58,https://www.arkansasbeautycollege.us/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,Town: Remote,No,29,29,48%,NA,2019-20,"$10,707","Cosmetology/Cosmetologist, General",106324,03997300,35817,5809.00,2719.00,3090.00,7.05,79.75,6.30,0.35,3.75,0.00,4606.00,31868.00,7085.50,17399.00,2519.00,24.85,32.60,31.95,27.90,21.30,6.75,12.05,5.95,0.00,80.40,8.80,2.50,15.40,2236.50,78.70,14.80,0.40,11.15,6.15
106315,Arkansas Beauty School-Little Rock,"8521 Geyer Springs Road Unit 30, Little Rock, Arkansas 72209",Little Rock,AR,72209,-92.343366,34.672171,,Information not available,Engineering & Technology,1,0,0,1,0,2,3,#N/A,165,3,162," $551,313.00 "," $542,653.00 "," $8,660.00 "," $456,066.00 ",63,arbs.edu/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Midsize,No,98,98,100%,NA,2019-20,"$23,739","Cosmetology/Cosmetologist, General",106315,03005100,39291,4855.71,2354.29,2501.43,17.86,13.91,66.43,0.03,0.13,0.00,2976.43,33766.00,5428.71,16489.57,2882.71,29.14,43.87,18.91,24.27,25.26,11.77,19.79,16.59,1.04,79.56,2.17,0.40,20.49,2212.14,76.43,20.51,0.06,6.63,3.00
490425,Arkansas Colleges of Health Education,"7000 Chad Colley Blvd., Fort Smith, Arkansas 72916-0366",Fort Smith,AR,72916,-94.319084,35.317421,,Information not available,Engineering & Technology,1,0,0,1,0,2,3,#N/A,46,0,46," $301,426.00 "," $301,426.00 ", $-   ," $301,426.00 ",28,achehealth.edu/,"4-year, Private not-for-profit",Master's degree;Doctor's degree - professional practice,Rural: Fringe,Yes,758,,NA,NA,Fall 2016,NA,-,488527,04256800,75019,4712.67,2337.33,2375.33,4.87,86.73,0.87,2.30,1.40,0.00,3574.67,45547.67,11346.00,26260.00,3586.33,16.50,26.07,36.03,27.40,16.73,7.33,12.47,8.43,0.30,87.60,0.87,0.07,21.33,2031.00,81.40,13.03,0.03,4.53,5.50
107327,Arkansas Northeastern College,"2501 S Division, Blytheville, Arkansas 72316-1109",Blytheville,AR,72316,-89.921005,35.898597,,Information not available,Engineering & Technology,1,0,0,1,0,2,3,2072,534,149,385," $4,807,631.00 "," $4,316,246.00 "," $491,385.00 "," $2,079,973.00 ",49,www.anc.edu/,"2-year, Public",Less than one year certificate;One but less than two years certificate;Associate's degree,Rural: Fringe,No,1502,1502,42%,10%,Fall 2019,"$5,367",-,107327,01286000,45219,3860.50,1821.00,2039.50,4.10,48.08,45.27,0.00,0.53,0.00,2737.50,37298.17,6687.50,19727.00,3194.00,25.23,37.63,21.77,25.02,18.27,10.98,23.95,12.65,0.62,82.05,0.73,1.93,16.52,1625.83,76.00,18.55,0.28,10.85,5.17
106458,Arkansas State University,"2105 East, Aggie Road, Jonesboro, Arkansas 72401",Jonesboro,AR,72401,-90.679988,35.842388,13,Education,Education,1,0,0,1,0,1,2,6888,2836,818,2018," $67,360,744.00 "," $66,892,567.00 "," $468,177.00 "," $14,493,960.00 ",40,www.astate.edu/,"4-year, Public",Less than one year certificate;One but less than two years certificate;Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice,City: Small,Yes,13190,8201,53%,29%,Fall 2016,"$12,011",-,106458,00109000,40461,5902.00,2906.27,2995.73,6.61,71.55,17.02,0.25,0.98,0.24,4273.64,40861.91,6453.82,22821.09,3670.55,23.49,32.55,31.96,21.34,19.59,9.71,17.40,12.92,0.36,78.75,3.39,0.87,16.73,2657.82,79.97,13.86,0.25,7.50,5.88
