studend_id,location,zip_code,gender,ethnicity,science_points,technology_points,engineering_points,art_points,math_points,average_points,profile
4014,ADVANCE,27006,Female,Caucasian,91,92,39,39,20,56.2,"Hi, I'm a second-grader with a love for storytelling. I enjoy creating adventures for my stuffed animals and illustrating them in my own little picture books."
4015,ALCOLU,29001,Male,Asian,43,32,64,87,41,53.4,"Hey there! I'm a middle school seventh-grader with a love for mathematics. Solving challenging problems and exploring mathematical patterns fuel my daily adventures. In my artistic pursuits, I create mathematical art that visualizes the elegance of mathematical concepts."
4016,AVONDALE ESTATES,30002,Female,Caucasian,94,45,47,58,76,64,Greetings! I'm a third-grader who loves simple experiments. Mixing baking soda and vinegar to create fizzing reactions is my idea of a fun and messy science time.
4017,ORANGE PARK,32003,Female,African American,86,42,94,58,67,69.4,"Greetings! I'm an eighth-grader fascinated by the world of environmental science. Studying ecosystems and advocating for sustainability are my scientific passions. In my creative moments, I create digital illustrations that highlight the importance of preserving our planet."
4018,ORLANDO,32801,Female,Caucasian,48,32,64,94,81,63.8,Hey there! I'm a first-grader who adores animals. I enjoy drawing pictures of different pets and imagining what adventures they might have.
4019,LONG KEY,33001,Male,Caucasian,90,85,90,77,57,79.8,I have interest in economics and mathematics. I want to learn business maths in college.
4020,MOODY,35004,Male,African American,33,91,40,40,81,57,"Hello! I'm a seventh-grade student with a passion for physics. Understanding the laws of motion and exploring the wonders of the physical world captivates my scientific curiosity. In my artistic endeavors, I express my creative side through digital paintings that visualize the concepts of physics."
4021,ADAMS,37010,Female,African American,34,84,35,75,76,60.8,"In ninth grade, my passion lies in unraveling the mysteries of technology. Coding algorithms, exploring software development, and diving into the digital world are my go-to activities. Outside of technology, I enjoy creating intricate sculptures that bridge the gap between engineering precision and artistic expression."
4022,ALEXANDRIA,43001,Male,African American,82,39,32,97,82,66.4,"Hi! I'm a first-grader who loves exploring nature. I'm fascinated by bugs and butterflies, and I express my creativity through colorful drawings of my little insect friends."
4023,BOWLING GREEN,43402,Female,African American,78,36,100,87,97,79.6,Hello! I'm a second-grader with a passion for numbers. I love counting everything around me and creating colorful math drawings.
4024,ALEXANDRIA,46001,Female,African American,88,34,38,51,95,61.2,"Hey there! I'm a second-grader with a knack for building. Whether it's with LEGO or blocks, I love creating towering structures. My artistic side shines when I draw imaginative cities with smiling faces."
4025,ALGONAC,48001,Female,Hispanic,85,54,73,98,24,66.8,"What's up! I'm a third-grader who enjoys creating with clay. Whether it's making animals or shapes, molding clay allows me to explore my artistic side."
4026,SAGINAW,48601,Male,African American,69,64,32,57,44,53.2,"What's up! I'm a third-grader who adores animals. I enjoy learning about different species and draw pictures of my favorite animals, imagining them in their natural habitats."
4027,MILO,50001,Male,African American,76,96,56,25,32,57,"Hi, I'm a first-grader with a fascination for underwater life. Drawing pictures of fish and sea creatures is my way of exploring the depths of the ocean."
4028,CLINTON,52727,Female,Hispanic,20,63,91,77,43,58.8,"Hello! I'm a first-grader who loves numbers. Counting is my superpower, and I express my creativity by making colorful patterns with my toys."
4029,ADELL,53001,Male,Caucasian,31,60,57,65,35,49.6,"Hi there! I'm a senior focused on aerospace engineering. Understanding flight dynamics and designing innovative aircraft captivate my interest in both engineering and science. In my creative moments, I sketch futuristic aircraft concepts that merge technical precision with imaginative design."
4030,STODDARD,54658,Female,African American,37,93,42,38,76,57.2,"Hi, I'm a second-grader with a passion for space. Rockets and planets amaze me, and I often draw pictures of colorful galaxies and stars."
4031,ALEXANDER,58838,Female,African American,67,53,45,51,82,59.6,"What's up! I'm a high school junior with a deep interest in computer graphics. Designing virtual worlds and exploring the intersection of technology and art are my daily adventures. In my artistic pursuits, I create digital landscapes that push the boundaries of visual storytelling."
4032,ANTIOCH,60002,Female,African American,79,46,64,100,98,77.4,Greetings! I'm a third-grader who enjoys hands-on experiments. Mixing colors and watching reactions unfold is my idea of a fantastic science adventure.
4033,CHESTERFIELD,63005,Male,African American,40,64,42,43,79,53.6,"Hello! I'm a senior with a passion for biomedical research. Understanding the complexities of human biology and exploring medical advancements fuel my scientific curiosity. In my artistic endeavors, I create digital illustrations that visualize the intricate world of cells and molecules."
4034,METAIRIE,70001,Male,African American,88,35,71,81,69,68.8,Hey there! I'm a first-grader with a love for stories. I enjoy creating imaginative tales and illustrate them with my own colorful drawings.
4035,PINE BLUFF,71601,Female,Asian,70,79,48,26,45,53.6,"Greetings! I'm a high school junior with a love for astrophysics. Unraveling the mysteries of the cosmos and exploring celestial phenomena are my scientific pursuits. In my creative moments, I create digital space-themed collages that capture the beauty and vastness of the universe."
4036,TEXARKANA,71854,Male,Hispanic,95,74,25,42,90,65.2,Hello! I'm a second-grader who's fascinated by technology. I enjoy playing educational games on my tablet and draw pictures of futuristic gadgets.
4037,TEMPLE,76501,Female,Hispanic,71,51,50,83,94,69.8,"Hey! I'm a senior navigating the world of robotics. Building and programming robots are not just a hobby but a thrilling adventure in technology. Beyond the tech realm, I express my artistic side through crafting sculptures that incorporate elements of engineering design."
4038,HOUSTON,77001,Female,African American,87,39,38,30,65,51.8,"What's up! I'm a third-grader who loves tinkering. Whether it's building a cardboard spaceship or creating unique shapes with clay, I'm always exploring my artistic side."
4039,ANTHONY,79821,Female,African American,92,65,34,22,58,54.2,"Hi there! I'm a high school junior with a passion for marine biology. Studying underwater ecosystems and marine life is my scientific voyage. In my artistic pursuits, I express my creativity through creating vibrant marine-themed digital illustrations that blend science and art."
4040,ARVADA,80001,Male,African American,91,38,76,76,43,64.8,"Hi, I'm a first-grader who finds joy in patterns. Whether it's arranging blocks or creating sequences, I love expressing my creativity through simple math play."
4041,DESMET,83824,Male,Asian,90,79,46,99,68,76.4,"What's up! I'm a senior deeply immersed in the world of theoretical physics. Delving into the abstract realms of the universe and exploring complex theories are my scientific passions. In my creative endeavors, I visualize intricate physics concepts through digital paintings, blending science with artistic interpretation."
4042,ALTAMONT,84001,Female,Asian,74,61,35,59,56,57,Hey there! I'm a second-grader with a passion for dinosaurs. I love learning about different species and draw pictures of my favorite prehistoric creatures.
4043,LOS ANGELES,90001,Male,African American,96,60,67,37,75,67,"Hello! I'm a high school junior with a love for computer programming. Coding algorithms, developing software, and exploring the vast world of technology are my daily pursuits. In my artistic moments, I create digital graphics that bridge the gap between technology and visual aesthetics."
4044,ALTADENA,91001,Female,Hispanic,23,88,52,37,95,59,"Greetings! I'm a third-grader who enjoys solving puzzles. From jigsaw puzzles to math challenges, I express my creativity by figuring out solutions."
4045,AGOURA HILLS,91301,Female,African American,90,32,30,63,98,62.6,"Greetings! I'm a senior delving into the world of environmental engineering. Designing sustainable solutions and exploring eco-friendly practices fuel my interest in both engineering and science. In my creative pursuits, I sketch concepts for green urban spaces that blend precision with an artistic vision."
4046,ALPINE,91901,Female,Hispanic,91,38,41,21,43,46.8,"Hello! I'm a first-grader who loves to observe plants. I enjoy drawing flowers and trees, imagining how they grow and change with the seasons."
4047,BELMONT,94002,Male,African American,70,22,84,88,91,71,"Hey! I'm a high school junior passionate about astronomy. Studying the cosmos and exploring celestial phenomena are my scientific endeavors. In my artistic moments, I create digital space-themed artwork that merges science and visual storytelling."
4048,ALAMEDA,94501,Male,Hispanic,98,88,38,67,90,76.2,"Hi, I'm a second-grader with a fascination for sea life. Drawing colorful underwater scenes with fish and corals is my way of exploring the ocean."
4049,AIEA,96701,Female,African American,95,37,22,54,58,53.2,"Hey! I'm a high school junior fascinated by bioinformatics. Analyzing biological data and exploring the intersection of biology and computer science are my scientific pursuits. In my artistic moments, I create digital visualizations that bridge the gap between genomics and art."
4050,ANCHORAGE,99501,Male,Caucasian,100,62,26,31,82,60.2,What's up! I'm a third-grader with a passion for building bridges. I enjoy creating structures with my building blocks and draw pictures of fantastic bridges.
4051,ADJUNTAS,601,Female,Asian,38,60,77,76,93,68.8,"Greetings! I'm a senior with a love for sustainable architecture. Designing eco-friendly structures and exploring innovative building materials fuel my interest in both engineering and art. In my creative pursuits, I sketch architectural wonders that merge precision with an artistic vision for a greener future."
4052,AGAWAM,1001,Female,Caucasian,65,53,23,64,93,59.6,Hey there! I'm a first-grader who loves storytelling. I enjoy creating tales about friendly monsters and illustrate them with my crayons.
4053,AMHERST,3031,Female,African American,68,76,82,75,84,77,"Hello! I'm a high school junior with a passion for chemical engineering. Mixing substances and exploring reactions are my daily adventures in the world of science. In my artistic endeavors, I create digital illustrations that visualize chemical processes in a vibrant and creative way."
4054,AVON,6001,Male,African American,80,87,54,80,23,64.8,Greetings! I'm a second-grader who enjoys simple experiments. Mixing colors and watching them change is my way of having fun with science.
4055,AVENEL,7001,Male,African American,34,34,97,73,60,59.6,"What's up! I'm a senior navigating the world of app development. Coding mobile applications, exploring user interfaces, and pushing the boundaries of technology are my technological pursuits. In my artistic moments, I design digital interfaces that seamlessly blend functionality with visual appeal."
4056,NEW YORK,10001,Female,African American,41,39,48,34,63,45,Hello! I'm a third-grader who loves all things space. Drawing planets and imagining alien friends are my favorite creative pastimes.
4057,AMAWALK,10501,Male,Caucasian,20,67,44,62,38,46.2,"Hi there! I'm a high school junior with a love for ornithology. Studying birds and understanding their behavior is my scientific journey. In my artistic pursuits, I express my creativity through intricate bird-themed digital illustrations that blend science and art."
4058,FLORAL PARK,11001,Female,African American,38,48,94,94,78,70.4,"What's up! I'm a first-grader who enjoys counting shapes. Whether it's triangles or circles, I express my creativity through simple math drawings."
4059,ALIQUIPPA,15001,Female,African American,44,26,50,94,93,61.4,"Hey! I'm a senior with a deep interest in artificial intelligence ethics. Exploring the ethical implications of AI and machine learning is my intellectual pursuit. In my artistic endeavors, I create thought-provoking digital artwork that addresses the ethical dimensions of technology."
4060,ALEPPO,15310,Female,Caucasian,72,21,65,23,32,42.6,"Hi, I'm a second-grader with a passion for drawing robots. I love imagining futuristic worlds and creating pictures of friendly robots doing cool things."
4061,BETHLEHEM,18002,Male,African American,88,60,86,42,37,62.6,"Hello there! Seventh grade marks my initiation into the captivating world of architecture. Designing structures and understanding spatial relationships fuel my interest in both engineering and art. In my creative pursuits, I sketch architectural wonders that blend precision with creative vision."
4062,WASHINGTON,20001,Male,Asian,60,86,89,41,20,59.2,"Greetings! I'm a high school junior with a passion for sustainable fashion. Exploring eco-friendly materials and innovative design practices are my interests in both art and science. In my creative moments, I sketch sustainable fashion concepts that blend artistic flair with environmental consciousness."
4063,ALDIE,20105,Female,Asian,30,59,40,43,89,52.2,"What's up! As an eleventh-grader, my focus is on theoretical physics. Delving into the abstract realms of the universe is both challenging and rewarding. In my artistic endeavors, I create digital paintings that visualize the complex concepts of theoretical physics, bridging the gap between science and art."
4064,ADVANCE,27006,Male,Hispanic,94,91,74,35,57,70.2,"Hey! I'm a sixth-grader with a passion for marine biology. Exploring aquatic ecosystems and studying marine life is my scientific journey. In my artistic pursuits, I create digital underwater-themed illustrations, blending my love for science with a touch of creativity."
4065,ALCOLU,29001,Female,Caucasian,75,52,64,45,35,54.2,"Hello! I'm a senior focused on theoretical mathematics. Exploring abstract concepts and solving complex problems are my daily pursuits. In my artistic endeavors, I create intricate mathematical art that visualizes the elegance of mathematical structures in a visually appealing way."
4066,AVONDALE ESTATES,30002,Female,Caucasian,90,34,93,29,42,57.6,"I'm a ninth-grader navigating the realm of computer programming. Coding algorithms and developing software are my technological pursuits. Outside of the digital landscape, I express my artistic side through creating intricate digital patterns inspired by mathematical concepts."
4067,ORANGE PARK,32003,Female,African American,82,56,93,28,99,71.6,"What's up! I'm a high school junior with a fascination for biotechnology. Understanding genetic engineering and exploring the potential of biotech applications are my scientific pursuits. In my artistic moments, I create digital illustrations that visualize the intersection of biology and technology."
4068,ORLANDO,32801,Male,African American,86,38,29,79,33,53,"Greetings! Tenth grade has me captivated by aerospace engineering. Understanding flight dynamics and designing aircraft fuel my curiosity in both engineering and science. In my artistic moments, I sketch futuristic aircraft concepts that merge technical precision with creative vision."
4069,LONG KEY,33001,Male,African American,56,97,21,79,96,69.8,"Hi there! I'm a senior with a love for digital storytelling. Exploring multimedia storytelling and the convergence of technology and narrative are my creative pursuits. In my artistic moments, I create digital narratives that push the boundaries of storytelling in the digital age."
4070,MOODY,35004,Female,Caucasian,29,69,71,31,70,54,"Hello there! Seventh grade is my introduction to the world of robotics. Building and programming robots is not just a hobby but a thrilling adventure in technology. Beyond robotics, I express my artistic side through crafting sculptures that incorporate elements of engineering design."
4071,ADAMS,37010,Male,African American,79,95,24,83,28,61.8,"Hey! I'm a high school junior passionate about environmental science journalism. Reporting on climate issues and exploring the intersection of science and storytelling are my pursuits. In my artistic moments, I create digital illustrations that accompany my articles, bringing environmental stories to life."
4072,ALEXANDRIA,43001,Female,African American,90,78,57,30,80,67,"What's up! I'm an eleventh-grader with a passion for pure mathematics. Exploring abstract concepts and solving complex problems are my daily pursuits. In my artistic endeavors, I create mathematical art that visualizes the beauty and patterns inherent in mathematical structures."
4073,BOWLING GREEN,43402,Female,Asian,28,35,28,65,31,37.4,"Hey, I'm a high school junior deeply immersed in the world of genetic research. Exploring the intricacies of DNA and molecular biology is my scientific passion. Outside the lab, I channel my creativity into digital art that visually represents genetic codes and biological structures."
4074,ALEXANDRIA,46001,Female,Caucasian,29,33,96,68,44,54,
4075,ALGONAC,48001,Male,African American,46,78,92,88,77,76.2,
4076,SAGINAW,48601,Male,African American,49,43,77,34,58,52.2,
4077,MILO,50001,Female,African American,54,68,57,82,55,63.2,"Hello! As a high school sophomore, my fascination lies in civil engineering. Designing sustainable structures and exploring urban planning principles fuel my curiosity. In my creative moments, I sketch architectural wonders that merge precision with an artistic vision of a sustainable future."
4078,CLINTON,52727,Male,Hispanic,34,62,83,25,92,59.2,
4079,ADELL,53001,Female,African American,98,40,37,79,85,67.8,"Greetings! I'm a junior delving into the world of neuroscience. Studying the brain's complexities and understanding cognitive functions is my scientific journey. Outside of the lab, I express my artistic side through creating digital artwork that explores the connection between the mind and creativity."
4080,STODDARD,54658,Female,Caucasian,45,77,22,44,65,50.6,
4081,ALEXANDER,58838,Female,African American,87,75,78,66,77,76.6,"What's up! I'm a high school senior with a passion for theoretical physics. Exploring the abstract realms of the universe and delving into complex theories are my daily pursuits. In my artistic endeavors, I create digital paintings that visualize the beauty and mystery of theoretical physics."
4082,ANTIOCH,60002,Male,African American,71,55,29,38,37,46,"Hey there, I'm a high school junior with a passion for environmental science. Studying ecosystems and advocating for sustainable practices drive my scientific pursuits. Outside of environmental science, I express my artistic side through creating digital illustrations that highlight the beauty of the natural world."
4083,CHESTERFIELD,63005,Male,African American,38,79,95,52,81,69,"I'm a senior with a passion for quantum computing. Understanding the principles of quantum mechanics and exploring the potential of quantum computing are my technological pursuits. In my artistic moments, I create digital artworks that visualize the abstract concepts of quantum computing."
4084,METAIRIE,70001,Female,African American,52,96,26,60,98,66.4,"I'm a senior deeply engaged in the field of robotics. Building and programming advanced robotic systems are my technological adventures. Beyond the lab, I channel my creativity into developing digital simulations that push the boundaries of robotic capabilities."
4085,PINE BLUFF,71601,Male,Caucasian,81,90,32,87,29,63.8,"I'm a high school junior with a love for ecological design. Integrating sustainability into architectural concepts and exploring green building practices are my interests in both engineering and art. In my creative pursuits, I sketch eco-friendly building designs that merge technical precision with an artistic vision."
4086,TEXARKANA,71854,Female,African American,80,68,79,74,64,73,"Hello! As a high school sophomore, my focus is on aeronautical engineering. Understanding flight dynamics and designing aircraft captivate my interest in both engineering and science. In my creative moments, I sketch futuristic aircraft concepts, merging technical precision with imaginative design."
4087,TEMPLE,76501,Female,Caucasian,78,29,82,33,86,61.6,
4088,HOUSTON,77001,Female,African American,39,93,93,60,95,76,"Greetings! I'm a junior with a passion for astrophysics. Unraveling the mysteries of the cosmos and exploring celestial phenomena are my scientific pursuits. In my artistic endeavors, I create digital space-themed collages that capture the beauty and vastness of the universe."
4089,ANTHONY,79821,Male,Asian,23,93,20,86,77,59.8,"What's up! I'm a high school junior with a fascination for aerospace technology. Understanding flight dynamics, exploring spacecraft design, and delving into aeronautics are my scientific pursuits. In my artistic moments, I sketch futuristic spacecraft concepts that blend technical precision with imaginative design."
4090,ARVADA,80001,Male,African American,61,53,77,77,95,72.6,"What's up! I'm a high school senior, and my focus is on applied mathematics. Solving complex problems and exploring mathematical applications in various fields are my daily adventures. In my artistic pursuits, I create mathematical art that visualizes the elegance of mathematical concepts."
4091,DESMET,83824,Female,African American,63,100,77,51,74,73,"Hey, I'm a high school junior passionate about marine biology. Studying marine ecosystems and marine life is my scientific voyage. In my artistic pursuits, I express my creativity through digital underwater-themed paintings, blending my love for science and art."
4092,ALTAMONT,84001,Male,African American,48,74,75,42,34,54.6,"What's up! I'm a high school senior with a deep love for pure mathematics. Exploring abstract concepts and solving complex problems are my daily pursuits. In my artistic endeavors, I create intricate mathematical art that visualizes the elegance of mathematical structures."
4093,LOS ANGELES,90001,Female,Caucasian,65,24,75,49,24,47.4,
4094,ALTADENA,91001,Female,Caucasian,39,33,95,39,97,60.6,"Greetings! I'm a junior passionate about quantum physics. Delving into the mysteries of quantum mechanics and exploring theoretical physics is my scientific journey. In my creative moments, I visualize complex quantum concepts through digital artwork, merging science with artistic interpretation."
4095,AGOURA HILLS,91301,Female,Hispanic,55,72,45,46,70,57.6,"Hello! As a high school sophomore, my fascination lies in environmental engineering. Designing sustainable solutions and studying eco-friendly practices fuel my interest in both engineering and science. In my creative moments, I sketch environmentally conscious cityscapes that blend precision with an artistic vision."
4096,ALPINE,91901,Male,African American,65,91,26,49,69,60,"Hello! As a high school sophomore, my focus is on neurobiology. Studying the intricacies of the brain and exploring neuroscience captivate my scientific curiosity. In my creative endeavors, I express my artistic side through digital illustrations that reflect the beauty of neurological processes."
4097,BELMONT,94002,Male,Asian,38,91,51,50,47,55.4,
4098,ALAMEDA,94501,Female,African American,92,35,77,58,80,68.4,
4099,AIEA,96701,Male,African American,59,85,94,61,56,71,"What's up! I'm a high school senior with a focus on aerospace engineering. Understanding flight dynamics and exploring space exploration captivate my interest in both engineering and science. In my creative moments, I sketch futuristic spacecraft concepts, merging technical precision with imaginative design."
4100,ANCHORAGE,99501,Female,African American,96,98,54,86,80,82.8,"Hey there, I'm a high school junior engrossed in the world of artificial intelligence. Developing algorithms and exploring machine learning are my technological pursuits. Beyond coding, I express my artistic side through creating digital artworks that visualize the synergy between technology and creativity."
4101,Sunnydale,56789,Male,Caucasian,24,51,83,95,30,56.6,As a second-grader I dive into the world of marine biology. Drawing sea creatures and learning about ocean life become my favorite activities.
4102,Maple Grove,67890,Female,Hispanic,85,89,26,37,57,58.8,I love to draw and would like to pursue my career in arts.
4103,Golden Valley,78901,Male,African American,37,87,76,31,98,65.8,My interest is in learning mathematics and statistics. I like to learn mathematical problem solving in college. 
4104,Sunset Bay,89012,Female,Asian,83,85,52,36,33,57.8,I have huge interest in Physics. In my college I want to pursue either physics or robotics.
4105,Meadow Springs,90123,Male,Caucasian,93,70,86,43,32,64.8,Engineering is my passion. I would like to pursue a career in Automobile engineering.
4106,Riverdale,23456,Female,Hispanic,20,53,58,33,46,42,Art is my passion. I would like to pursue a career in art and culture.
4107,Sunshine Valley,34567,Male,African American,80,96,85,76,39,75.2,I have a huge interest in car. I would like to study automobile engineering in college. 
4108,Harmony Ridge,45678,Female,Asian,90,68,40,70,61,65.8,As a first-grade linguist I embark on a language-learning journey. Mastering multiple languages and exploring different cultures become my exciting pursuits.
4109,Ocean Side,56789,Male,Caucasian,22,28,37,53,76,43.2,I would like to learn how to code. I want to have a career in coding and software.
4110,Misty Creek,67890,Female,Hispanic,78,51,69,25,36,51.8,I am very fascinated by neural science. I would like to have a career in neurology.
4111,Starry Meadow,78901,Male,African American,21,85,29,88,37,52,My interest is in micro biology. I would like to study about micro organisms and would like to have a career in this subject.
4112,Sunrise Bay,89012,Female,Asian,57,79,89,46,92,72.6,I like to study economics and maths. My passion in solving calculus motivates me to have a career in Maths.
4113,Mountain View,90123,Male,Caucasian,95,47,55,72,69,67.6,"Hi All, I am a second grader. I love learning about music and art. I would like to be an artist."
4114,Golden Ridge,23456,Female,Hispanic,98,95,63,87,42,77,"Hey, I like studying Physics. I have a deep interest in learning about space, universe and galaxies. I would like to pursue physics in college."
4115,Lakeside Park,34567,Male,African American,47,84,43,49,23,49.2,I am fond of electronics. I would love to learn electronics engineering in my college.
4116,Sunflower Valley,45678,Female,Asian,26,97,63,95,27,61.6,As a first-grade biologist I explore the wonders of nature. Observing plants and animals and learning about ecosystems become my favorite activities.
4117,Oakwood,56789,Male,Caucasian,63,88,93,35,29,61.6,My passion is to learn about technology. I would like to study technology in future.
4118,Misty Grove,67890,Female,Hispanic,22,70,30,66,47,47,I enjoy playing video and computer games. I would love to develop computer games by learning technology.
4119,Sapphire Falls,78901,Male,African American,89,78,50,89,67,74.6,I would like to study information technology in my college.
4120,Riverbank,89012,Female,Asian,63,25,42,63,25,43.6,In my leisure time I like to read about science magazines and I am very interested in robotics. I would like to learn Artificial Intelligence and robotics.
4121,Sunset Ridge,90123,Male,Caucasian,38,31,49,90,48,51.2,Mathematics is my favorite. I would like to explore maths in my career.
4122,Maple Grove,23456,Female,Hispanic,89,81,89,56,67,76.4,As a seventh-grade linguist I explore the richness of languages. Mastering new words and understanding diverse cultures become my exciting pursuits.
4123,Oceanview,34567,Male,African American,37,94,45,31,36,48.6,Eighth grade introduces me to marine biology. Studying the wonders of the ocean and marine life becomes my passion and source of fascination.
4124,Golden Bay,45678,Female,Asian,39,91,68,98,25,64.2,I would like to study about plant kingdom. I have a deep interest in Botany and Animal science. 
4125,Harmony Falls,56789,Male,Caucasian,95,42,36,44,100,63.4,I would like to pursue computer engineering and electrical engineering in my college. 
4126,Sapphire Springs,67890,Female,Hispanic,86,40,100,98,21,69,I want to work for NASA.  I would like to study about space technology and astronomy.
4127,Misty Valley,78901,Male,African American,72,53,93,25,98,68.2,I love automobiles and would like to study about automobile engineering when I grow.
4128,Sunrise Bay,89012,Female,Asian,56,74,49,84,72,67,I want to study science and would like to specialize in Chemistry. 
4129,Mountain View,90123,Male,Caucasian,65,86,88,22,71,66.4,Biological science is my favorite. I would love to pursue a career in biology.
4130,Golden Ridge,23456,Female,Hispanic,21,36,20,54,61,38.4,"I have a passion in learning computer science. I have a deep passion in Artificial Intelligence, Machine Learning. "
4131,Lakeside Park,34567,Male,African American,45,69,51,20,24,41.8,
4132,Sunflower Valley,45678,Female,Asian,80,90,31,40,64,61,My interest is in biology and medicine. I would like to be a doctor when I grow up. 
4133,Oakwood,56789,Male,Caucasian,25,31,58,99,70,56.6,"Hey, I am passionate about drawing and playing guitar. I would like to be an artist when I grow up."
4134,Misty Grove,67890,Female,Hispanic,66,100,97,71,77,82.2,I have a deep interest in learning Mathematics. I want to study Maths in college and University.
4135,Sapphire Falls,78901,Male,African American,75,74,36,79,50,62.8,I love science and engineering. I would like to pursue my career in computer science and engineering.
4136,Riverbank,89012,Female,Asian,29,74,32,81,91,61.4,Engineering attracts me the most. I would like to be an aerospace engineer.
4137,Sunset Ridge,90123,Male,Caucasian,33,51,47,90,62,56.6,I find physics as to be the most interesting subject. I want to learn about space and atoms.
4138,Maple Grove,23456,Female,Hispanic,41,22,30,90,49,46.4,Learning about arts excites me the most. I love to learn languages and about different cultures.
4139,Oceanview,34567,Male,African American,38,23,36,69,37,40.6,I love to study marine biology. marine life has become my new passion and source of fascination.
4140,Golden Bay,45678,Female,Asian,35,77,91,90,98,78.2,I enjoy learning about chemical equations. I would love to learn chemistry in my college. 
4141,Harmony Falls,56789,Male,Caucasian,71,28,27,44,92,52.4,"hi, I am in tenth grade. In my college I would like to study Biology for my interest in animal kingdom. "
4142,Sunset Ridge,67890,Female,Hispanic,65,62,77,98,80,76.4,I am passionate about mathematics. I would love to have a career in Mathematics.
4143,Maple Grove,78901,Male,African American,25,90,54,31,83,56.6,I love science and mathematics both. I would love to study scientific advancements in my college. 
4144,Oceanview,89012,Female,Asian,51,99,43,21,36,50,I love solving challenging mathematical problems. I would love to have a career in Mathematics. 
4145,Golden Bay,90123,Male,Caucasian,92,96,37,72,59,71.2,I love to paint. I would like to have a career in Arts.
4146,Sapphire Springs,23456,Female,Hispanic,60,41,71,59,44,55,I love to study underwater animal kingdom. I want to learn marine biology. 
4147,Misty Valley,34567,Male,African American,22,22,63,53,30,38,I have a huge interest in studying environmental science. I would like to be environmentalist in future.
4148,Sunrise Bay,45678,Female,Asian,93,66,38,21,100,63.6,As a first-grade biologist I delve into the wonders of nature. Observing plants and animals and learning about ecosystems become my favorite activities.
4149,Mountain View,56789,Male,Caucasian,73,56,95,44,48,63.2,I would like to be a biologist due to my deep interest in biological science.
4150,Golden Ridge,67890,Female,Hispanic,28,31,61,51,82,50.6,I would like to study about environment science.
4151,Sunset Ridge,78901,Male,African American,39,65,35,32,72,48.6,I love to explore world of gadgets. I would like to study electronics engineering in future. 
